title,box_office,genres_IMDB,release_year,averageRating,numVotes,GPE_entities,GPE_US_frequencies,Percentage_american_culture
A Cry in the Dark,6908797.0,,1988.0,,,"['Azaria', 'Uluru']",Counter(),0.0
End Game,,"Action,Thriller",2006.0,5.1,5745.0,[],Counter(),0.0
"Come Back, Africa",,,1960.0,,,"['Johannesburg', 'Sophiatown']",Counter({'Johannesburg': 1}),0.5
Kehtaa Hai Dil Baar Baar,,"Comedy,Drama,Romance",2002.0,4.7,204.0,"['India', 'New York']",Counter({'New York': 1}),0.5
Pieces,2032311.0,,1982.0,,,['Boston'],Counter({'Boston': 1}),1.0
The Good Life,,"Comedy,Drama",2007.0,6.4,2352.0,['Nebraska'],Counter({'Nebraska': 1}),1.0
Eastern Promises,17266000.0,,2007.0,,,"['London', 'UK', 'London', 'Edinburgh']","Counter({'London': 2, 'Edinburgh': 1})",0.75
"Wait Until Spring, Bandini",,Drama,1989.0,6.2,754.0,['Colorado'],Counter({'Colorado': 1}),1.0
Sophie's Choice,30036000.0,"Drama,Romance",1982.0,7.5,53987.0,"['Brooklyn', 'U.S.', 'Brooklyn', 'Virginia']","Counter({'Brooklyn': 2, 'Virginia': 1})",0.75
Until Death,,"Action,Crime,Drama",2007.0,5.7,10503.0,"['New Orleans', 'New Orleans']",Counter({'New Orleans': 2}),1.0
Anything Else,13585075.0,"Comedy,Romance",2003.0,6.3,33054.0,['New York City'],Counter(),0.0
Twelfth Night: Or What You Will,588621.0,,1996.0,,,"['Illyria', 'Illyria']",Counter(),0.0
Say it in Russian,,,2007.0,,,['Moscow'],Counter({'Moscow': 1}),1.0
The Million Dollar Hotel,,,2000.0,,,['Los Angeles'],Counter({'Los Angeles': 1}),1.0
Two Evil Eyes,349618.0,,1990.0,,,"['Pittsburgh', 'Pittsburgh', 'Pittsburgh', 'New York']","Counter({'Pittsburgh': 3, 'New York': 1})",1.0
Hot Millions,,"Comedy,Crime",1968.0,6.8,2388.0,[],Counter(),0.0
Take A Hard Ride,,,1975.0,,,"['Sonora', 'Mexico']","Counter({'Sonora': 1, 'Mexico': 1})",1.0
Northern Lights,,,2009.0,,,"['Baltimore', 'Baltimore', 'Baltimore', 'Baltimore', 'Alberta', 'Dawson City', 'Yukon Territory']","Counter({'Baltimore': 4, 'Alberta': 1})",0.7142857142857143
Othello,,,2001.0,,,['London'],Counter({'London': 1}),1.0
Darkness,34409206.0,Horror,2002.0,5.4,20554.0,['Spain'],Counter(),0.0
Munich,130358911.0,"Action,Drama,History",2005.0,7.5,243144.0,"['Israel', 'Israel', 'Rome', 'Paris', 'Munich', 'Cyprus', 'Cyprus', 'Paris', 'Beirut', 'Beirut', 'Athens', 'US', 'London', 'Netherlands', 'Spain', 'Israel', 'New York City', 'New York', 'Munich', 'Israel', 'New York City']","Counter({'Paris': 2, 'Munich': 2, 'Rome': 1, 'Athens': 1, 'London': 1, 'New York': 1})",0.38095238095238093
Aces: Iron Eagle III,,,1992.0,,,"['Brownsville', 'Texas', 'Izquitos Village', 'Peru', 'Lethridge', 'Peru', 'Peru', 'Texas']","Counter({'Peru': 3, 'Texas': 2, 'Brownsville': 1})",0.75
The Brotherhood III: Young Demons,,,2002.0,,,[],Counter(),0.0
Tiptoes,,,2003.0,,,[],Counter(),0.0
Black Tulip,,,2010.0,,,['Kabul'],Counter(),0.0
Stage Beauty,2153070.0,,2004.0,,,['London'],Counter({'London': 1}),1.0
Northern Lights,,,1997.0,,,['America'],Counter(),0.0
American Pie Presents: The Book of Love,,,2009.0,,,"['Canada', 'USA']",Counter({'Canada': 1}),0.5
"I Love You, I Love You Not",,,1997.0,,,[],Counter(),0.0
The In-Laws,26891849.0,,2003.0,,,['France'],Counter(),0.0
Zoolander,,,2001.0,,,['Malaysia'],Counter(),0.0
Atlantic City,12729675.0,"Crime,Drama,Romance",1980.0,7.3,18615.0,['Atlantic City'],Counter({'Atlantic City': 1}),1.0
Living in A Perfect World,,,2006.0,,,"['El Savinal', 'El Capulin', 'Chihuahua', 'Russia', 'Canada', 'Mexico', 'El Savinal', 'El Capulin']","Counter({'Russia': 1, 'Canada': 1, 'Mexico': 1})",0.375
High Road to China,28445927.0,"Adventure,Drama,Romance",1983.0,6.0,6146.0,"['Istanbul', 'Istanbul', 'China', 'China']",Counter({'China': 2}),0.5
Appleseed,1461989.0,,2005.0,,,"['Olympus', 'Olympus', 'Olympus', 'Tartaros']",Counter(),0.0
Malena,14493284.0,,2000.0,,,"['Sicily', 'Italy', 'Messina', 'Messina']",Counter({'Italy': 1}),0.25
Samson and Delilah,,,1984.0,,,[],Counter(),0.0
Sidecar Racers,,Drama,1975.0,6.0,107.0,['Australia'],Counter(),0.0
I Witness,,,2003.0,,,"['Tijuana', 'Tijuana', 'San Diego', 'US', 'US']",Counter({'San Diego': 1}),0.2
Miss Conception,,"Comedy,Romance",2008.0,4.6,2906.0,"['London', 'London', 'London']",Counter({'London': 3}),1.0
Envy,14581765.0,Comedy,2004.0,4.8,32596.0,['Rome'],Counter({'Rome': 1}),1.0
Bordertown,,,2006.0,,,"['United States', 'Mexico', 'Iraq', 'Oaxaca', 'Ciudad Juárez', 'Chihuahua', 'U.S.-Mexico', 'Iraq', 'Juárez', 'US']",Counter({'Mexico': 1}),0.1
Closing the Ring,,,2007.0,,,"['Belfast', 'Belfast', 'Michigan', 'Belfast', 'Belfast']","Counter({'Belfast': 4, 'Michigan': 1})",1.0
Case 39,13000000.0,"Horror,Mystery,Thriller",2009.0,6.2,94646.0,[],Counter(),0.0
Parzania,,,2007.0,,,"['Ahmedabad', 'India', 'Gujarat', 'Gujarat']",Counter(),0.0
Bicentennial Man,87423861.0,"Drama,Romance,Sci-Fi",1999.0,6.9,126642.0,[],Counter(),0.0
No Good Deed,,,2003.0,,,"['Russia', 'Albany', 'Albany', 'Canada']","Counter({'Albany': 2, 'Russia': 1, 'Canada': 1})",1.0
Amandla! A Revolution in Four Part Harmony,,"Documentary,History,Music",2002.0,7.4,626.0,"['South Africa', 'the United States', 'South Africa']",Counter(),0.0
Ice Twisters,,,2009.0,,,"['Harrisford', 'Oregon']",Counter({'Oregon': 1}),0.5
Doom,55987321.0,,2005.0,,,['Olduvai'],Counter(),0.0
Escape from Planet Earth,,,2013.0,,,['Baab'],Counter(),0.0
Dial M for Murder,6000000.0,"Crime,Thriller",1954.0,8.2,193078.0,"['London', 'England', 'Cambridge']","Counter({'London': 1, 'England': 1, 'Cambridge': 1})",1.0
And the Violins stopped playing,,,1988.0,,,"['Poland', 'Hungary', 'Hungary', 'Hungary', 'Hungary']",Counter({'Poland': 1}),0.2
A View to a Kill,152400000.0,"Action,Adventure,Thriller",1985.0,6.3,106724.0,"['the Soviet Union', 'Chantilly', 'France', 'San Francisco', 'the Soviet Union', 'San Francisco']","Counter({'San Francisco': 2, 'Chantilly': 1})",0.5
Lion of the Desert,,,1981.0,,,"['Libya', 'Libya', 'Rome', 'Libya']",Counter({'Rome': 1}),0.25
The Kingdom,86579130.0,"Action,Drama,Thriller",2007.0,7.0,133605.0,"['U.S.-Saudi', 'Iraq', 'Saudi Arabia', 'the United States', 'Saudi Arabia', 'Riyadh', 'Saudi Arabia', 'Saudi Arabia', 'Washington', 'D.C.', 'Saudi Arabia', 'Saudi Arabia', 'U.S.', 'Riyadh', 'the United States', 'Riyadh', 'U.S.']",Counter({'Washington': 1}),0.058823529411764705
Runaway Train,8000000.0,,1985.0,,,"['Alaska', 'Seneca']","Counter({'Alaska': 1, 'Seneca': 1})",1.0
Mandela,,,1995.0,,,"['South Africa', 'South Africa']",Counter(),0.0
I'll Sleep When I'm Dead,490964.0,,2004.0,,,"['London', 'London', 'England', 'London', 'London']","Counter({'London': 4, 'England': 1})",1.0
Death to Smoochy,8382938.0,"Comedy,Crime,Drama",2002.0,6.3,43153.0,[],Counter(),0.0
I Can't Think Straight,,,2008.0,,,"['Jordan', 'London', 'Jordan', 'London']","Counter({'Jordan': 2, 'London': 2})",1.0
The King is Alive,,,2000.0,,,[],Counter(),0.0
Snow White,,"Family,Fantasy,Musical",1987.0,6.5,976.0,[],Counter(),0.0
Darwin,,,2011.0,,,"['Death Valley', 'California', 'America']","Counter({'Death Valley': 1, 'California': 1})",0.6666666666666666
City Girl,,,1984.0,,,[],Counter(),0.0
Split Image,263635.0,,1982.0,,,[],Counter(),0.0
Khartoum,,,1966.0,,,"['Sudan', 'Khartoum', 'Sudan', 'Khartoum', 'Khartoum', 'Khartoum', 'Khartoum', 'Britain', 'Sudan', 'the United Kingdom', 'Sudan', 'Khartoum']",Counter({'Sudan': 4}),0.3333333333333333
100 anos de perdon,,,,,,[],Counter(),0.0
The Little Mermaid II: Return to the Sea,,,2000.0,,,['Triton'],Counter(),0.0
The Green Slime,,,1968.0,,,[],Counter(),0.0
Broken Trail,,,2006.0,,,"['Oregon', 'Wyoming']","Counter({'Oregon': 1, 'Wyoming': 1})",1.0
From Hell,74558115.0,,2001.0,,,"['London', 'France']",Counter({'London': 1}),0.5
Russian Ark,6685748.0,,2002.0,,,"['Saint Petersburg', 'Iran']",Counter({'Saint Petersburg': 1}),0.5
A Simple Plan,16311763.0,"Crime,Drama,Thriller",1998.0,7.5,77633.0,['Minnesota'],Counter({'Minnesota': 1}),1.0
Blue Gender,,,2002.0,,,"['Baikonur', 'Russia']",Counter({'Russia': 1}),0.5
The Last Trimester,,,2006.0,,,[],Counter(),0.0
Beyond Re-Animator,,"Comedy,Horror,Sci-Fi",2003.0,5.7,13300.0,[],Counter(),0.0
Inchon,5200986.0,"Drama,History,War",1981.0,2.9,868.0,"['Korea', 'the United States', 'Incheon', 'Tokyo', 'Tokyo', 'U.S.', 'U.S.']",Counter(),0.0
Mwansa the Great,,"Adventure,Drama,Fantasy",2011.0,7.4,97.0,[],Counter(),0.0
Felix the Cat: The Movie,1964253.0,,1988.0,,,"['the Kingdom of Oriana', 'Oriana', 'the Kingdom of Oriana', 'Oriana', 'Oriana', 'the Land of Zill', 'Zill', 'Oriana', 'Oriana', 'Oriana']",Counter(),0.0
Vanilla Sky,203388341.0,"Fantasy,Mystery,Romance",2001.0,6.9,290025.0,['New York City'],Counter(),0.0
Mr. & Mrs. Bridge,,,1990.0,,,"['Kansas City', 'Missouri', 'Kansas City', 'Paris', 'France', 'Ottawa', 'Canada']","Counter({'Kansas City': 2, 'Missouri': 1, 'Paris': 1, 'Ottawa': 1, 'Canada': 1})",0.8571428571428571
Speed Racer,93945766.0,,2008.0,,,[],Counter(),0.0
In the Company of Men,2856622.0,,1997.0,,,[],Counter(),0.0
The Scorpion King,,"Action,Adventure,Fantasy",2002.0,5.5,147321.0,"['Gomorrah', 'Egypt']",Counter({'Egypt': 1}),0.5
The Killer Inside Me,3976222.0,"Crime,Drama,Mystery",2010.0,6.1,36084.0,"['Texas', '&', 'mdash', 'Fort Worth', 'Texas']","Counter({'Texas': 2, 'Fort Worth': 1})",0.6
Man-Thing,,,2005.0,,,['Louisiana'],Counter({'Louisiana': 1}),1.0
MirrorMask,866999.0,,2005.0,,,"['the City of Light', 'the Land of Shadow', 'the City of Light', 'City']",Counter(),0.0
In the Shadow of the Moon,,,2007.0,,,['the United States'],Counter(),0.0
The Grudge 3,38610009.0,,2009.0,,,"['Tokyo', 'Chicago', 'New York']","Counter({'Chicago': 1, 'New York': 1})",0.6666666666666666
